team1,team2,date,hour,category
QATAR,ECUADOR,20 NOV 2022,17 : 00,Group A
ENGLAND,IRAN,21 NOV 2022,14 : 00,Group B
SENEGAL,NETHERLANDS,21 NOV 2022,17 : 00,Group A
UNITED STATES,WALES,21 NOV 2022,20 : 00,Group B
ARGENTINA,SAUDI ARABIA,22 NOV 2022,11 : 00,Group C
DENMARK,TUNISIA,22 NOV 2022,14 : 00,Group D
MEXICO,POLAND,22 NOV 2022,17 : 00,Group C
FRANCE,AUSTRALIA,22 NOV 2022,20 : 00,Group D
MOROCCO,CROATIA,23 NOV 2022,11 : 00,Group F
GERMANY,JAPAN,23 NOV 2022,14 : 00,Group E
SPAIN,COSTA RICA,23 NOV 2022,17 : 00,Group E
BELGIUM,CANADA,23 NOV 2022,20 : 00,Group F
SWITZERLAND,CAMEROON,24 NOV 2022,11 : 00,Group G
URUGUAY,KOREA REPUBLIC,24 NOV 2022,14 : 00,Group H
PORTUGAL,GHANA,24 NOV 2022,17 : 00,Group H
BRAZIL,SERBIA,24 NOV 2022,20 : 00,Group G
WALES,IRAN,25 NOV 2022,11 : 00,Group B
QATAR,SENEGAL,25 NOV 2022,14 : 00,Group A
NETHERLANDS,ECUADOR,25 NOV 2022,17 : 00,Group A
ENGLAND,UNITED STATES,25 NOV 2022,20 : 00,Group B
TUNISIA,AUSTRALIA,26 NOV 2022,11 : 00,Group D
POLAND,SAUDI ARABIA,26 NOV 2022,14 : 00,Group C
FRANCE,DENMARK,26 NOV 2022,17 : 00,Group D
ARGENTINA,MEXICO,26 NOV 2022,20 : 00,Group C
JAPAN,COSTA RICA,27 NOV 2022,11 : 00,Group E
BELGIUM,MOROCCO,27 NOV 2022,14 : 00,Group F
CROATIA,CANADA,27 NOV 2022,17 : 00,Group F
SPAIN,GERMANY,27 NOV 2022,20 : 00,Group E
CAMEROON,SERBIA,28 NOV 2022,11 : 00,Group G
KOREA REPUBLIC,GHANA,28 NOV 2022,14 : 00,Group H
BRAZIL,SWITZERLAND,28 NOV 2022,17 : 00,Group G
PORTUGAL,URUGUAY,28 NOV 2022,20 : 00,Group H
NETHERLANDS,QATAR,29 NOV 2022,16 : 00,Group A
ECUADOR,SENEGAL,29 NOV 2022,16 : 00,Group A
WALES,ENGLAND,29 NOV 2022,20 : 00,Group B
IRAN,UNITED STATES,29 NOV 2022,20 : 00,Group B
AUSTRALIA,DENMARK,30 NOV 2022,16 : 00,Group D
TUNISIA,FRANCE,30 NOV 2022,16 : 00,Group D
POLAND,ARGENTINA,30 NOV 2022,20 : 00,Group C
SAUDI ARABIA,MEXICO,30 NOV 2022,20 : 00,Group C
CROATIA,BELGIUM,01 DEC 2022,16 : 00,Group F
CANADA,MOROCCO,01 DEC 2022,16 : 00,Group F
JAPAN,SPAIN,01 DEC 2022,20 : 00,Group E
COSTA RICA,GERMANY,01 DEC 2022,20 : 00,Group E
GHANA,URUGUAY,02 DEC 2022,16 : 00,Group H
KOREA REPUBLIC,PORTUGAL,02 DEC 2022,16 : 00,Group H
SERBIA,SWITZERLAND,02 DEC 2022,20 : 00,Group G
CAMEROON,BRAZIL,02 DEC 2022,20 : 00,Group G
NETHERLANDS,UNITED STATES,03 DEC 2022,16 : 00,Round of 16
ARGENTINA,AUSTRALIA,03 DEC 2022,20 : 00,Round of 16
FRANCE,POLAND,04 DEC 2022,16 : 00,Round of 16
ENGLAND,SENEGAL,04 DEC 2022,20 : 00,Round of 16
JAPAN,CROATIA,05 DEC 2022,16 : 00,Round of 16
BRAZIL,KOREA REPUBLIC,05 DEC 2022,20 : 00,Round of 16
MOROCCO,SPAIN,06 DEC 2022,16 : 00,Round of 16
PORTUGAL,SWITZERLAND,06 DEC 2022,20 : 00,Round of 16
CROATIA,BRAZIL,09 DEC 2022,16 : 00,Quarter-final
NETHERLANDS,ARGENTINA,09 DEC 2022,20 : 00,Quarter-final
MOROCCO,PORTUGAL,10 DEC 2022,16 : 00,Quarter-final
ENGLAND,FRANCE,10 DEC 2022,20 : 00,Quarter-final
ARGENTINA,CROATIA,13 DEC 2022,20 : 00,Semi-final
FRANCE,MOROCCO,14 DEC 2022,20 : 00,Semi-final
CROATIA,MOROCCO,17 DEC 2022,16 : 00,Play-off for third place
ARGENTINA,FRANCE,18 DEC 2022,16 : 00,Final